,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
1668,1668,1668,GeThO3,Ge,Th,0,2,4,0.73,0.94,cubic,-2.162,0.978,0,18.789,0.323,4.546,4.546,4.546,90,90,90,2.191,0.6962962963,0.6422629279,7.899,6.08,2.01,1.3,0.6436484803
1669,1669,1669,GeTiO3,Ge,Ti,0,2,4,0.73,0.61,tetragonal,-2.361,0.151,0,12.078,1.509,3.784,3.784,4.218,90,90,90,4.252,0.4518518519,0.7503990331,7.899,6.82,2.01,1.54,0.7493221114
1673,1673,1673,GeVO3,Ge,V,0,2,4,0.73,0.58,tetragonal,-1.954,0.211,0.2,11.902,1.049,3.75,3.75,4.232,90,90,90,2.827,0.4296296296,0.7620632668,7.899,6.74,2.01,1.63,0.7606754767
1678,1678,1678,GeZrO3,Ge,Zr,0,2,4,0.73,0.72,cubic,-2.235,0.524,0,14.041,1.703,4.125,4.125,4.125,90,90,90,4.191,0.5333333333,0.7105227559999999,7.899,6.84,2.01,1.33,0.7104421905
1685,1685,1685,HfBaO3,Hf,Ba,0,4,2,0.83,1.35,orthorhombic,-3.268,0.357,0,18.555,3.156,5.992,6.134,10.097,90,90,90,-7.285,1.0,0.570923253,6.65,5.212000000000001,1.3,0.89,0.5733993171
1686,1686,1686,HfBeO3,Hf,Be,0,4,2,0.83,0.45,cubic,-2.726,0.764,0,7.939,1.19,3.411,3.411,3.411,90,90,90,4.212,0.3333333333,0.8563848794,6.65,9.322000000000001,1.3,1.57,0.8523503362
1688,1688,1688,HfCaO3,Hf,Ca,0,not balanced,not balanced,0.83,1.0,orthorhombic,-3.406,0.263,0,13.347,3.862,5.542,5.698,8.453,90,90,90,-,0.7407407407,0.6559543757,6.65,6.1129999999999995,1.3,1,0.6570200509
1689,1689,1689,HfCdO3,Hf,Cd,0,4,2,0.83,0.95,orthorhombic,-2.549,0.248,0,12.81,2.471,5.597,5.763,7.943,90,90,90,-7.342,0.7037037037,0.6702142535,6.65,8.993,1.3,1.69,0.6709992009
1703,1703,1703,HfHgO3,Hf,Hg,0,4,2,0.83,1.02,orthorhombic,-2.228,0.257,0,13.616,1.593,5.258,5.545,9.34,90,90,90,-5.258,0.7555555556,0.6504188958,6.65,10.437000000000001,1.3,2,0.6515901331
1707,1707,1707,HfKO3,Hf,K,0,not balanced,not balanced,0.83,1.38,orthorhombic,-2.605,0.278,0.2,15.673,0.989,6.409,6.878,7.111,90,90,90,-15.905,1.0222222222,0.5646493711,6.65,4.341,1.3,0.82,0.5672115547
1711,1711,1711,HfMgO3,Hf,Mg,0,4,2,0.83,0.72,cubic,-2.321,1.161,0,9.985,1.042,3.682,3.682,3.682,90,90,90,0.79,0.5333333333,0.7446825039,6.65,7.646,1.3,1.31,0.7437962840000001
1721,1721,1721,HfPbO3,Hf,Pb,0,not balanced,not balanced,0.83,0.99,orthorhombic,-2.518,0.314,0,16.346,1.805,5.784,5.931,9.531,90,90,90,-,0.7333333333,0.6587575996,6.65,7.416,1.3,2.33,0.6597690887
1735,1735,1735,HfSnO3,Hf,Sn,0,not balanced,not balanced,0.83,0.69,orthorhombic,-2.458,0.461,0,14.982,0.974,5.842,6.01,8.534,90,90,90,0.334,0.5111111111,0.7556337171999999,6.65,7.343999999999999,1.3,1.96,0.7544727857
1736,1736,1736,HfSrO3,Hf,Sr,0,4,2,0.83,1.18,orthorhombic,-3.325,0.328,0,15.858,3.16,5.787,5.903,9.284,90,90,90,-12.667,0.8740740740999999,0.609285685,6.65,5.695,1.3,0.95,0.6111814427000001
1774,1774,1774,HgGeO3,Hg,Ge,0,2,4,1.14,0.53,rhombohedral,-1.168,0.163,-,10.906,0.264,5.376,5.376,5.376,59.7,59.7,59.7,1.602,0.39259259259999996,0.9365403644,10.437000000000001,7.899,2,2.01,0.9305964892
1775,1775,1775,HgHfO3,Hg,Hf,0,2,4,1.14,0.71,rhombohedral,-2.418,0.067,0,12.975,1.478,5.758,5.758,5.758,58.3,58.3,58.3,0.852,0.5259259259000001,0.8547067404,10.437000000000001,6.65,2,1.3,0.851209111
1791,1791,1791,HgNpO3,Hg,Np,0,element not in BV,element not in BV,1.14,0.86,orthorhombic,-2.241,0.167,0.6,15.062,0.936,5.87,5.956,8.616,90,90,90,0.632,0.637037037,0.7966949707,10.437000000000001,6.19,2,1.36,0.7947129311
1798,1798,1798,HgPtO3,Hg,Pt,0,element not in BV,element not in BV,1.14,0.67,orthorhombic,-0.506,0.12,0.001,12.145,0.462,5.528,5.6,7.847,90,90,90,-0.549,0.49629629630000005,0.8716316262999999,10.437000000000001,9.0,2,2.28,0.8676575962
1799,1799,1799,HgPuO3,Hg,Pu,0,element not in BV,element not in BV,1.14,0.83,rhombohedral,-2.166,-0.028,0.8,15.168,1.442,6.063,6.063,6.063,58.4,58.4,58.4,-0.013,0.6148148148,0.8076586629000001,10.437000000000001,6.06,2,1.28,0.8054041364
1808,1808,1808,HgSnO3,Hg,Sn,0,2,4,1.14,0.69,rhombohedral,-1.298,0.056,-,12.864,0.23,5.7,5.7,5.7,59.2,59.2,59.2,0.557,0.5111111111,0.8630862182,10.437000000000001,7.343999999999999,2,1.96,0.8593546527
1815,1815,1815,HgTiO3,Hg,Ti,0,2,4,1.14,0.61,rhombohedral,-2.038,0.09,0,11.512,1.52,5.508,5.508,5.508,58.9,58.9,58.9,1.847,0.4518518519,0.8983142271,10.437000000000001,6.82,2,1.54,0.893557823
1819,1819,1819,HgVO3,Hg,V,0,2,4,1.14,0.58,orthorhombic,-1.579,0.147,0.201,11.274,0.65,5.372,5.384,7.796,90,90,90,1.811,0.4296296296,0.9122776606999999,10.437000000000001,6.74,2,1.63,0.9070965779000001
1824,1824,1824,HgZrO3,Hg,Zr,0,2,4,1.14,0.72,rhombohedral,-2.276,0.086,0,13.384,1.717,5.821,5.821,5.821,58.2,58.2,58.2,0.184,0.5333333333,0.8505777223000001,10.437000000000001,6.84,2,1.33,0.8471939737
1825,1825,1825,HoAcO3,Ho,Ac,0,element not in BV,element not in BV,1.12,1.12,orthorhombic,-3.535,0.196,0,17.119,3.62,6.113,6.255,8.953,90,90,90,0.642,0.8296296296,0.7071067812,6.018,5.17,1.23,1.1,0.7071067812
1827,1827,1827,HoAlO3,Ho,Al,1,3,3,1.12,0.54,orthorhombic,-3.595,-0.025,0,10.127,6.137,5.149,5.345,7.36,90,90,90,6.291,0.4,0.924102513,6.018,5.986000000000001,1.23,1.61,0.9185098395
1830,1830,1830,HoBO3,Ho,B,0,3,3,1.12,0.27,cubic,-2.528,0.797,0,8.163,3.049,3.443,3.443,3.443,90,90,90,5.471,0.2,1.0781195984999998,6.018,8.298,1.23,2.04,1.0670114303
1831,1831,1831,HoBaO3,Ho,Ba,0,not balanced,not balanced,1.12,1.35,orthorhombic,-2.84,0.277,0.2,18.294,0.644,6.493,6.782,8.309,90,90,90,-7.927,1.0,0.6468717590999999,6.018,5.212000000000001,1.23,0.89,0.6479669413
1837,1837,1837,HoCoO3,Ho,Co,1,3,3,1.12,0.61,orthorhombic,-2.54,0.023,0,10.662,1.399,5.157,5.558,7.44,90,90,90,2.32,0.4518518519,0.8910988518,6.018,7.86,1.23,1.88,0.8865219346
1838,1838,1838,HoCrO3,Ho,Cr,1,3,3,1.12,0.62,orthorhombic,-3.211,-0.033,0.6,11.031,2.474,5.247,5.561,7.561,90,90,90,4.185,0.4592592593,0.8865755073999999,6.018,6.766,1.23,1.66,0.8821332122
1839,1839,1839,HoCsO3,Ho,Cs,0,not balanced,not balanced,1.12,1.67,orthorhombic,-1.949,0.552,0,18.203,0.352,5.111,6.032,11.81,90,90,90,-,1.2370370370000001,0.5783290561,6.018,3.8939999999999997,1.23,0.79,0.5804264132
1841,1841,1841,HoDyO3,Ho,Dy,0,not balanced,not balanced,1.12,0.99,cubic,-2.875,0.987,0,15.432,1.383,4.257,4.257,4.257,90,90,90,0.661,0.7333333333,0.7463904912999999,6.018,5.94,1.23,1.22,0.7455686562999999
1842,1842,1842,HoErO3,Ho,Er,0,not balanced,not balanced,1.12,0.89,cubic,-2.975,0.91,0,14.906,1.68,4.208,4.208,4.208,90,90,90,1.354,0.6592592593,0.7797114953000001,6.018,6.101,1.23,1.24,0.7781262395999999
1844,1844,1844,HoFeO3,Ho,Fe,1,3,3,1.12,0.65,orthorhombic,-2.789,-0.027,1,11.17,1.206,5.264,5.587,7.597,90,90,90,3.094,0.4814814815,0.8732768748,6.018,7.87,1.23,1.83,0.8692239457
1845,1845,1845,HoGaO3,Ho,Ga,0,3,3,1.12,0.62,orthorhombic,-2.978,0.02,0,10.94,4.108,5.239,5.542,7.536,90,90,90,4.388,0.4592592593,0.8865755073999999,6.018,5.999,1.23,1.81,0.8821332122
1846,1846,1846,HoGdO3,Ho,Gd,0,not balanced,not balanced,1.12,0.94,cubic,-2.759,1.074,0,16.034,1.071,4.312,4.312,4.312,90,90,90,0.771,0.6962962963,0.7626872269,6.018,6.15,1.23,1.2,0.7614996104999999
1850,1850,1850,Ho2O3,Ho,Ho,0,not balanced,not balanced,1.12,0.9,cubic,-2.927,0.947,0,15.17,1.533,4.233,4.233,4.233,90,90,90,1.256,0.6666666667,0.7762461109000001,6.018,6.018,1.23,1.23,0.7747430820000001
1851,1851,1851,HoInO3,Ho,In,0,not balanced,not balanced,1.12,0.8,cubic,-2.123,0.736,0,13.674,1.521,4.089,4.089,4.089,90,90,90,2.645,0.5925925926,0.8123505812,6.018,5.7860000000000005,1.23,1.78,0.8099586766
1856,1856,1856,HoLuO3,Ho,Lu,0,not balanced,not balanced,1.12,0.86,cubic,-3.121,0.797,0,14.255,2.083,4.146,4.146,4.146,90,90,90,2.495,0.637037037,0.7902958143000001,6.018,5.4259,1.23,1.27,0.7884553489
1858,1858,1858,HoMnO3,Ho,Mn,1,3,3,1.12,0.65,orthorhombic,-2.965,0.031,0.8,11.203,0.399,5.257,5.71,7.464,90,90,90,3.421,0.4814814815,0.8732768748,6.018,7.435,1.23,1.55,0.8692239457
1862,1862,1862,HoNdO3,Ho,Nd,0,not balanced,not balanced,1.12,0.98,cubic,-2.456,1.291,0,17.601,0.331,4.448,4.448,4.448,90,90,90,-2.305,0.7259259259,0.7495938839,6.018,5.53,1.23,1.14,0.7487012976999999
1873,1873,1873,HoRbO3,Ho,Rb,0,not balanced,not balanced,1.12,1.52,orthorhombic,-2.141,0.364,0,17.95,1.164,6.129,6.181,9.477,90,90,90,-8.649,1.1259259259,0.6085553134,6.018,4.177,1.23,0.82,0.6102428386
1878,1878,1878,HoScO3,Ho,Sc,1,3,3,1.12,0.75,cubic,-3.293,0.551,0,12.606,2.543,3.98,3.98,3.98,90,90,90,5.011,0.5555555556,0.8316922617,6.018,6.54,1.23,1.36,0.8287949249
1880,1880,1880,HoSmO3,Ho,Sm,0,not balanced,not balanced,1.12,0.96,cubic,-2.604,1.183,0,16.798,0.89,4.379,4.379,4.379,90,90,90,-1.293,0.7111111111,0.7560838743000001,6.018,5.64,1.23,1.17,0.7550462240000001
1889,1889,1889,HoTlO3,Ho,Tl,0,not balanced,not balanced,1.12,1.2,orthorhombic,-2.287,0.118,0,13.943,1.11,5.534,5.895,8.549,90,90,90,0.482,0.8888888889,0.6849230390000001,6.018,6.108,1.23,1.62,0.6853496495
1890,1890,1890,HoTmO3,Ho,Tm,0,not balanced,not balanced,1.12,0.96,cubic,-3.038,0.865,0,14.671,1.806,4.186,4.186,4.186,90,90,90,1.774,0.7111111111,0.7560838743000001,6.018,6.184,1.23,1.25,0.7550462240000001
1892,1892,1892,HoVO3,Ho,V,0,2,4,1.12,0.58,orthorhombic,-3.276,-0.023,0.4,11.313,1.255,5.278,5.64,7.6,90,90,90,3.926,0.4296296296,0.9049501293000001,6.018,6.74,1.23,1.63,0.8999540851000001
1894,1894,1894,HoYO3,Ho,Y,0,not balanced,not balanced,1.12,0.9,cubic,-2.851,0.99,0,15.423,1.438,4.256,4.256,4.256,90,90,90,0.644,0.6666666667,0.7762461109000001,6.018,6.38,1.23,1.22,0.7747430820000001
1898,1898,1898,InAcO3,In,Ac,0,element not in BV,element not in BV,0.92,1.12,orthorhombic,-2.553,0.195,0,16.666,1.489,6.073,6.095,9.005,90,90,90,-3.62,0.8296296296,0.6498511714,5.7860000000000005,5.17,1.78,1.1,0.6509871953999999
1900,1900,1900,InAlO3,In,Al,0,3,3,0.92,0.54,orthorhombic,-2.493,0.061,-,9.902,2.606,5.081,5.259,7.411,90,90,90,0.82,0.4,0.8492763986,5.7860000000000005,5.986000000000001,1.78,1.61,0.8456122331999999
1912,1912,1912,InCsO3,In,Cs,0,not balanced,not balanced,0.92,1.67,orthorhombic,-0.889,0.609,-,17.215,0.216,4.859,5.957,11.895,90,90,90,-,1.2370370370000001,0.5315007925,5.7860000000000005,3.8939999999999997,1.78,0.79,0.5343608249
1924,1924,1924,In2O3,In,In,0,not balanced,not balanced,0.92,0.8,orthorhombic,-1.738,0.106,-,12.563,0.753,5.467,5.603,8.203,90,90,90,-3.59,0.5925925926,0.7465732062,5.7860000000000005,5.7860000000000005,1.78,1.78,0.745676242
1939,1939,1939,InPaO3,In,Pa,0,element not in BV,element not in BV,0.92,0.91,cubic,-2.482,-0.008,0,17.137,2.563,4.409,4.409,4.409,90,90,90,-,0.6740740741,0.7102355723,5.7860000000000005,5.89,1.78,1.5,0.7101678495
1951,1951,1951,InScO3,In,Sc,0,not balanced,not balanced,0.92,0.75,orthorhombic,-2.716,0.11,0,11.834,2.332,5.355,5.553,7.96,90,90,90,-2.53,0.5555555556,0.7643487587000001,5.7860000000000005,6.54,1.78,1.36,0.7630175498999999
1964,1964,1964,InUO3,In,U,0,1,5,0.92,0.76,cubic,-2.665,0.241,0.2,16.707,1.969,4.371,4.371,4.371,90,90,90,-,0.5629629629999999,0.7607262526999999,5.7860000000000005,6.05,1.78,1.38,0.7594850612999999
1965,1965,1965,InVO3,In,V,0,2,4,0.92,0.58,rhombohedral,-2.129,0.109,0.4,11.215,0.327,5.418,5.418,5.418,59.9,59.9,59.9,1.484,0.4296296296,0.8316748152,5.7860000000000005,6.74,1.78,1.63,0.8285291578
1971,1971,1971,IrAcO3,Ir,Ac,0,element not in BV,element not in BV,0.63,1.12,rhombohedral,-1.891,0.378,0,15.782,0.302,5.783,5.783,5.783,67.2,67.2,67.2,-9.665,0.8296296296,0.5668305371,9.1,5.17,2.2,1.1,0.5696137960000001
1985,1985,1985,IrCsO3,Ir,Cs,0,not balanced,not balanced,0.63,1.67,rhombohedral,-1.181,0.08,0.4,23.465,0.949,6.774,6.774,6.774,63.1,63.1,63.1,-,1.2370370370000001,0.4635998102,9.1,3.8939999999999997,2.2,0.79,0.4675657218
1999,1999,1999,IrKO3,Ir,K,0,not balanced,not balanced,0.63,1.38,rhombohedral,-1.139,0.186,0.4,18.059,0.818,6.326,6.326,6.326,60.4,60.4,60.4,-13.583,1.0222222222,0.5128466764999999,9.1,4.341,2.2,0.82,0.5163405632
2006,2006,2006,IrNaO3,Ir,Na,0,not balanced,not balanced,0.63,1.02,rhombohedral,-1.08,0.252,0.4,14.392,0.499,5.91,5.91,5.91,59.4,59.4,59.4,-15.784,0.7555555556,0.5907474374,9.1,5.138999999999999,2.2,0.93,0.5931515561
2019,2019,2019,IrRbO3,Ir,Rb,0,not balanced,not balanced,0.63,1.52,rhombohedral,-1.136,0.154,0.4,19.477,0.881,6.345,6.345,6.345,63.5,63.5,63.5,-20.814,1.1259259259,0.4878297654,9.1,4.177,2.2,0.82,0.49158450880000004
2035,2035,2035,IrTlO3,Ir,Tl,0,3,3,0.68,0.89,rhombohedral,-0.731,0.253,0.4,17.947,0.544,5.943,5.943,5.943,70.1,70.1,70.1,-10.072,0.6592592593,0.6408155205,9.1,6.108,2.2,1.62,0.6422629279
2052,2052,2052,KBiO3,K,Bi,1,1,5,1.64,0.76,orthorhombic,-1.352,0.098,-,14.845,0.273,5.912,5.97,8.412,90,90,90,0.393,0.5629629629999999,1.0020138748,4.341,7.289,0.82,2.02,0.9951873217
2080,2080,2080,KNbO3,K,Nb,1,1,5,1.64,0.64,tetragonal,-2.697,-0.221,0,13.332,1.714,4.003,4.003,4.161,90,90,90,5.482,0.47407407409999996,1.062436822,4.341,6.88,0.82,1.6,1.0537277524
2083,2083,2083,KNpO3,K,Np,0,element not in BV,element not in BV,1.64,0.86,orthorhombic,-2.884,-0.142,0.4,15.98,1.897,6.072,6.101,8.627,90,90,90,1.454,0.637037037,0.9566738804000001,4.341,6.19,0.82,1.36,0.9511524844
2085,2085,2085,KPaO3,K,Pa,1,element not in BV,element not in BV,1.64,0.91,cubic,-2.947,-0.567,0,16.978,4.236,4.395,4.395,4.395,90,90,90,6.314,0.6740740741,0.9355085290999999,4.341,5.89,0.82,1.5,0.9305647683
2091,2091,2091,KPuO3,K,Pu,0,element not in BV,element not in BV,1.64,0.83,orthorhombic,-2.652,-0.1,0.6,15.942,1.203,6.06,6.101,8.624,90,90,90,1.309,0.6148148148,0.9698391173,4.341,6.06,0.82,1.28,0.9639482578
2092,2092,2092,KRbO3,K,Rb,0,not balanced,not balanced,1.64,1.52,orthorhombic,-1.044,0.102,-,18.489,2.246,6.635,7.351,7.581,90,90,90,-2.794,1.1259259259,0.7366722215000001,4.341,4.177,0.82,0.82,0.736165964
2096,2096,2096,KSbO3,K,Sb,0,1,5,1.64,0.6,orthorhombic,-1.742,0.151,-,12.735,0.275,5.641,5.649,7.992,90,90,90,2.508,0.44444444439999997,1.0842303978,4.341,8.641,0.82,2.05,1.0748023074
2102,2102,2102,KTaO3,K,Ta,1,1,5,1.64,0.64,rhombohedral,-2.92,-0.38,0,12.838,2.324,5.663,5.663,5.663,60,60,60,6.626,0.47407407409999996,1.062436822,4.341,7.89,0.82,1.5,1.0537277524
2110,2110,2110,KUO3,K,U,1,not balanced,not balanced,1.64,0.85,orthorhombic,-3.14,-0.065,0.2,16.302,3.197,6.12,6.144,8.671,90,90,90,-11.265,0.6296296296,0.9610223981,4.341,6.05,0.82,1.38,0.9553798287999999
2111,2111,2111,KVO3,K,V,0,1,5,1.64,0.54,tetragonal,-2.271,0.099,0,12.542,0.284,3.685,3.685,4.618,90,90,90,2.017,0.4,1.1186504104000001,4.341,6.74,0.82,1.63,1.1080436159
2117,2117,2117,LaAcO3,La,Ac,0,element not in BV,element not in BV,1.36,1.12,cubic,-2.568,1.078,-0.002,20.589,0.273,4.687,4.687,4.687,90,90,90,2.449,0.8296296296,0.775813513,5.58,5.17,1.1,1.1,0.7744502842000001
2119,2119,2119,LaAlO3,La,Al,1,3,3,1.36,0.54,rhombohedral,-3.561,-0.072,0,10.913,4.122,5.359,5.359,5.359,60.1,60.1,60.1,-,0.4,1.0138938503000001,5.58,5.986000000000001,1.1,1.61,1.0059869670000001
2122,2122,2122,LaBO3,La,B,0,not balanced,not balanced,1.36,0.27,cubic,-2.441,0.916,0,9.267,2.138,3.592,3.592,3.592,90,90,90,4.68,0.2,1.1828761587,5.58,8.298,1.1,2.04,1.1686315665
2123,2123,2123,LaBaO3,La,Ba,0,not balanced,not balanced,1.36,1.35,orthorhombic,-2.787,0.248,0.2,20.096,0.52,6.66,6.722,8.977,90,90,90,-2.741,1.0,0.7097256952,5.58,5.212000000000001,1.1,0.89,0.7096780786
2128,2128,2128,LaCeO3,La,Ce,0,3,3,1.36,1.01,cubic,-2.7,0.916,0,18.942,0.687,4.558,4.558,4.558,90,90,90,3.087,0.7481481481000001,0.8119743123000001,5.58,5.54,1.1,1.12,0.8097986373999999
2130,2130,2130,LaCrO3,La,Cr,1,3,3,1.36,0.62,orthorhombic,-3.168,-0.071,0.6,12.024,2.07,5.506,5.586,7.819,90,90,90,4.845,0.4592592593,0.9727204959,5.58,6.766,1.1,1.66,0.966145899
2133,2133,2133,LaDyO3,La,Dy,0,3,3,1.36,0.91,cubic,-3.253,0.529,0,15.915,1.85,4.301,4.301,4.301,90,90,90,4.719,0.6740740741,0.8479023792,5.58,5.94,1.1,1.22,0.8448548554
2134,2134,2134,LaErO3,La,Er,1,3,3,1.36,0.89,orthorhombic,-3.776,0.028,0,14.809,4.586,5.832,6.04,8.409,90,90,90,4.912,0.6592592593,0.8554729362000001,5.58,6.101,1.1,1.24,0.8522335005
2136,2136,2136,LaFeO3,La,Fe,1,3,3,1.36,0.65,orthorhombic,-2.755,-0.035,1,12.186,1.092,5.52,5.621,7.855,90,90,90,4.037,0.4814814815,0.9581296884999999,5.58,7.87,1.1,1.83,0.9520071786
2137,2137,2137,LaGaO3,La,Ga,1,3,3,1.36,0.62,orthorhombic,-2.935,-0.028,0,11.923,3.829,5.512,5.536,7.815,90,90,90,4.934,0.4592592593,0.9727204959,5.58,5.999,1.1,1.81,0.966145899
2138,2138,2138,LaGdO3,La,Gd,0,3,3,1.36,0.94,cubic,-3.149,0.604,0,16.472,1.561,4.351,4.351,4.351,90,90,90,3.005,0.6962962963,0.8367944878,5.58,6.15,1.1,1.2,0.8340233829000001
2142,2142,2142,LaHoO3,La,Ho,1,3,3,1.36,0.9,orthorhombic,-3.759,0.034,0,14.973,4.546,5.849,6.063,8.445,90,90,90,4.805,0.6666666667,0.8516708342,5.58,6.018,1.1,1.23,0.8485281374
2143,2143,2143,LaInO3,La,In,1,3,3,1.36,0.8,orthorhombic,-2.773,0.006,0,14.094,3.131,5.721,5.972,8.251,90,90,90,3.397,0.5925925926,0.8912834312000001,5.58,5.7860000000000005,1.1,1.78,0.8870975981999999
2144,2144,2144,LaIrO3,La,Ir,0,3,3,1.36,0.68,orthorhombic,-2.255,0.085,0,12.737,0.809,5.466,5.894,7.908,90,90,90,0.504,0.5037037037,0.9439701365000001,5.58,9.1,1.1,2.2,0.9382763058
2146,2146,2146,La2O3,La,La,0,3,3,1.36,1.03,cubic,-2.825,0.888,0,19.361,0.595,4.592,4.592,4.592,90,90,90,3.112,0.762962963,0.8051509987000001,5.58,5.58,1.1,1.1,0.803133628
2147,2147,2147,LaLiO3,La,Li,0,not balanced,not balanced,1.36,0.76,orthorhombic,-2.263,0.275,0.4,11.446,0.349,5.296,5.689,7.598,90,90,90,-0.623,0.5629629629999999,0.9081797995,5.58,5.392,1.1,0.98,0.9035253315
2148,2148,2148,LaLuO3,La,Lu,1,3,3,1.36,0.86,rhombohedral,-3.782,0.055,0,14.353,4.557,5.841,5.841,5.841,60.8,60.8,60.8,5.238,0.637037037,0.867085691,5.58,5.4259,1.1,1.27,0.8635463345000001
2154,2154,2154,LaNdO3,La,Nd,0,3,3,1.36,0.98,cubic,-2.871,0.796,0,17.976,1.024,4.479,4.479,4.479,90,90,90,3.701,0.7259259259,0.8224289172,5.58,5.53,1.1,1.14,0.8200061832
2162,2162,2162,LaPrO3,La,Pr,0,3,3,1.36,0.99,cubic,-2.792,0.852,0,18.427,0.859,4.517,4.517,4.517,90,90,90,3.411,0.7333333333,0.8189142637000001,5.58,5.46,1.1,1.13,0.816575195
2165,2165,2165,LaRbO3,La,Rb,0,not balanced,not balanced,1.36,1.52,orthorhombic,-2.186,0.239,0,19.456,1.452,6.524,6.582,9.063,90,90,90,-2.592,1.1259259259,0.6676861941,5.58,4.177,1.1,0.82,0.6683612041
2167,2167,2167,LaRhO3,La,Rh,1,3,3,1.36,0.67,orthorhombic,-2.386,-0.062,0,12.605,0.674,5.503,5.806,7.89,90,90,90,1.14,0.49629629630000005,0.9486432559,5.58,7.46,1.1,2.28,0.9428090416
2170,2170,2170,LaScO3,La,Sc,1,3,3,1.36,0.75,orthorhombic,-3.789,-0.029,0,13.241,4.099,5.653,5.799,8.078,90,90,90,5.579,0.5555555556,0.9125044652,5.58,6.54,1.1,1.36,0.9077277748999999
2172,2172,2172,LaSmO3,La,Sm,0,3,3,1.36,0.96,cubic,-3.007,0.7,0,17.209,1.406,4.415,4.415,4.415,90,90,90,-,0.7111111111,0.8295495139,5.58,5.64,1.1,1.17,0.8269553881999999
2181,2181,2181,LaTlO3,La,Tl,0,3,3,1.36,0.89,orthorhombic,-2.287,0.038,0,15.167,1.302,5.817,6.164,8.46,90,90,90,1.289,0.6592592593,0.8554729362000001,5.58,6.108,1.1,1.62,0.8522335005
2182,2182,2182,LaTmO3,La,Tm,1,3,3,1.36,0.88,orthorhombic,-3.8,0.022,0,14.634,4.59,5.814,6.017,8.367,90,90,90,5.056,0.6518518519,0.8593091377,5.58,6.184,1.1,1.25,0.8559713667000001
2184,2184,2184,LaVO3,La,V,1,3,3,1.36,0.64,orthorhombic,-3.248,-0.077,0.4,12.379,1.248,5.537,5.689,7.859,90,90,90,4.609,0.47407407409999996,0.9629444106,5.58,6.74,1.1,1.63,0.9566738804000001
2186,2186,2186,LaYO3,La,Y,0,3,3,1.36,0.9,cubic,-3.229,0.531,0,15.904,1.912,4.3,4.3,4.3,90,90,90,4.641,0.6666666667,0.8516708342,5.58,6.38,1.1,1.22,0.8485281374
2190,2190,2190,LiAcO3,Li,Ac,0,element not in BV,element not in BV,0.92,1.12,orthorhombic,-2.369,0.103,0,13.879,2.806,5.9,6.224,7.559,90,90,90,-0.964,0.8296296296,0.6498511714,5.392,5.17,0.98,1.1,0.6509871953999999
2192,2192,2192,LiAlO3,Li,Al,0,not balanced,not balanced,0.92,0.54,orthorhombic,-2.188,0.18,-,8.383,3.175,5.155,5.406,6.017,90,90,90,-1.731,0.4,0.8492763986,5.392,5.986000000000001,0.98,1.61,0.8456122331999999
2193,2193,2193,LiAsO3,Li,As,0,1,5,0.92,0.46,orthorhombic,-1.66,0.164,-,8.634,1.977,4.891,5.003,7.058,90,90,90,1.238,0.3407407407,0.886813477,5.392,9.81,0.98,2.18,0.8819826518
2198,2198,2198,LiBiO3,Li,Bi,0,1,5,0.92,0.76,orthorhombic,-1.445,0.037,-,11.688,0.781,5.414,5.501,7.849,90,90,90,0.067,0.5629629629999999,0.7607262526999999,5.392,7.289,0.98,2.02,0.7594850612999999
2201,2201,2201,LiCeO3,Li,Ce,0,not balanced,not balanced,0.92,0.94,orthorhombic,-2.294,0.148,0,12.915,2.519,5.819,6.018,7.376,90,90,90,-2.253,0.6962962963,0.7009311761,5.392,5.54,0.98,1.12,0.7010631334999999
2219,2219,2219,LiLaO3,Li,La,0,not balanced,not balanced,0.92,1.03,orthorhombic,-2.405,0.133,0,12.879,2.829,5.849,6.005,7.334,90,90,90,-1.742,0.762962963,0.6744253753,5.392,5.58,0.98,1.1,0.6750978322
2226,2226,2226,LiNbO3,Li,Nb,1,1,5,0.92,0.64,rhombohedral,-2.704,0.033,0,10.725,2.613,5.467,5.467,5.467,56.9,56.9,56.9,4.763,0.47407407409999996,0.8065991926,5.392,6.88,0.98,1.6,0.8041606531000001
2227,2227,2227,LiNdO3,Li,Nd,0,not balanced,not balanced,0.92,0.98,orthorhombic,-2.335,0.187,0,12.423,2.55,5.762,5.941,7.258,90,90,90,-2.224,0.7259259259,0.6888980229,5.392,5.53,0.98,1.14,0.6892805598
2229,2229,2229,LiNpO3,Li,Np,0,element not in BV,element not in BV,0.92,0.86,rhombohedral,-2.882,0.05,0.4,12.707,1.647,5.877,5.877,5.877,55.1,55.1,55.1,1.274,0.637037037,0.7263042504,5.392,6.19,0.98,1.36,0.7258795276000001
