Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
AgVO3,Ag,V,TRUE,1,5,1.28,0.54,tetragonal,-1.582,0.125,0,11.419,0.341,3.684,3.684,4.208,90,90,90,1.832,O,1.385,0.9789296477
AgWO3,Ag,W,FALSE,1,5,1.28,0.62,cubic,-1.675,0.281,0,12.02,0,3.917,3.917,3.917,90,90,90,5.198,O,1.385,0.9398701107
AgYO3,Ag,Y,FALSE,not balanced,not balanced,1.28,0.9,cubic,-1.373,0.643,0.401,16.597,0,4.362,4.362,4.362,90,90,90,-2.727,O,1.385,0.8247000314
AgYbO3,Ag,Yb,FALSE,not balanced,not balanced,1.28,0.95,orthorhombic,-1.234,0.281,-,12.637,0,5.8,5.981,7.285,90,90,90,-5.322,O,1.385,0.8070405019
AgZnO3,Ag,Zn,FALSE,not balanced,not balanced,1.28,0.74,cubic,-0.13,0.642,-,11.449,0,3.854,3.854,3.854,90,90,90,-3.48,O,1.385,0.8867950926
AgZrO3,Ag,Zr,FALSE,not balanced,not balanced,1.28,0.72,orthorhombic,-2.099,0.187,-0.034,12.568,0,5.398,5.783,8.052,90,90,90,-0.445,O,1.385,0.8952206992
AlAcO3,Al,Ac,FALSE,element not in BV,element not in BV,0.54,1.12,orthorhombic,-3.304,0.228,0,14.825,3.118,5.553,5.62,9.501,90,90,90,-5.958,O,1.385,0.5433854506
AlAgO3,Al,Ag,FALSE,3,3,0.54,0.75,orthorhombic,-1.543,0.203,-,11.015,0,4.913,5.222,8.588,90,90,90,-5.981,O,1.385,0.6375552945
Al2O3,Al,Al,FALSE,3,3,0.54,0.54,cubic,-2.079,1.186,-,9.258,0,3.591,3.591,3.591,90,90,90,-0.978,O,1.385,0.7071067812
AlAsO3,Al,As,FALSE,3,3,0.54,0.58,cubic,-0.946,1.409,-,11.095,0,3.814,3.814,3.814,90,90,90,1.18,O,1.385,0.69271275
AlAuO3,Al,Au,FALSE,element not in BV,element not in BV,0.54,0.93,cubic,-0.085,1.688,-,13.042,0,4.025,4.025,4.025,90,90,90,-0.897,O,1.385,0.5879829606
AlBO3,Al,B,FALSE,3,3,0.54,0.27,cubic,-1.37,1.613,-,7.079,0,3.283,3.283,3.283,90,90,90,0.694,O,1.385,0.8224655914
AlBaO3,Al,Ba,FALSE,not balanced,not balanced,0.54,1.35,orthorhombic,-2.722,0.217,-,15.338,0.369,5.405,6.293,9.019,90,90,90,-9.71,O,1.385,0.4976894164
AlBeO3,Al,Be,FALSE,not balanced,not balanced,0.54,0.45,cubic,-1.499,1.332,-,7.62,0,3.365,3.365,3.365,90,90,90,-4.029,O,1.385,0.7417877677
AlBiO3,Al,Bi,FALSE,not balanced,not balanced,0.54,0.9,orthorhombic,-2.132,0.257,-,13.078,1.156,5.494,5.499,8.657,90,90,90,-4.525,O,1.385,0.5957026494
AlCaO3,Al,Ca,FALSE,not balanced,not balanced,0.54,1,orthorhombic,-2.797,0.165,-,12.156,0,5.18,5.611,8.364,90,90,90,-9.223,O,1.385,0.5707255991
AlCdO3,Al,Cd,FALSE,not balanced,not balanced,0.54,0.95,orthorhombic,-1.93,0.197,-,11.712,0.211,5.236,5.506,8.124,90,90,90,-7.376,O,1.385,0.582946704
AlCeO3,Al,Ce,FALSE,3,3,0.54,1.01,orthorhombic,-3.19,0.289,0,13.608,2.937,5.557,5.574,8.786,90,90,90,-7.106,O,1.385,0.5683426112
AlCoO3,Al,Co,FALSE,3,3,0.54,0.61,cubic,-0.957,1.302,0.005,9.363,0,3.604,3.604,3.604,90,90,90,-1.991,O,1.385,0.6822960169
AlCrO3,Al,Cr,FALSE,3,3,0.54,0.62,cubic,-1.534,1.339,0.541,10.504,0,3.745,3.745,3.745,90,90,90,-1.25,O,1.385,0.6788930443
AlCsO3,Al,Cs,FALSE,not balanced,not balanced,0.54,1.67,cubic,0.425,2.668,-,17.34,0,4.426,4.426,4.426,90,90,90,-12.888,O,1.385,0.4455582827
AlCuO3,Al,Cu,FALSE,3,3,0.54,0.54,cubic,-0.668,1.286,-,9.652,0,3.641,3.641,3.641,90,90,90,-3.853,O,1.385,0.7071067812
AlDyO3,Al,Dy,FALSE,3,3,0.54,0.91,rhombohedral,-3.343,0.244,0,13.125,3.763,5.993,5.993,5.993,54.1,54.1,54.1,-6.424,O,1.385,0.5931069951
AlErO3,Al,Er,FALSE,3,3,0.54,0.89,orthorhombic,-3.36,0.242,0,11.774,3.077,5.328,5.337,8.281,90,90,90,-6.199,O,1.385,0.5983211225
AlEuO3,Al,Eu,FALSE,3,3,0.54,0.95,orthorhombic,-2.925,0.18,0,12.765,0.226,5.134,5.797,8.578,90,90,90,-8.901,O,1.385,0.582946704
AlFeO3,Al,Fe,FALSE,3,3,0.54,0.65,cubic,-1.125,1.332,0.853,10.496,0,3.744,3.744,3.744,90,90,90,-2.445,O,1.385,0.668884793
AlGaO3,Al,Ga,FALSE,3,3,0.54,0.62,cubic,-1.246,1.437,-,10.465,0,3.74,3.74,3.74,90,90,90,-3.306,O,1.385,0.6788930443
AlGdO3,Al,Gd,FALSE,3,3,0.54,0.94,rhombohedral,-3.316,0.253,0,13.622,3.807,6.086,6.086,6.086,53.8,53.8,53.8,-6.621,O,1.385,0.5854540016
AlGeO3,Al,Ge,FALSE,not balanced,not balanced,0.54,0.63,cubic,-1.324,1.168,-,10.214,0,3.71,3.71,3.71,90,90,90,0.597,O,1.385,0.675523848
AlHfO3,Al,Hf,FALSE,3,3,0.54,0.71,cubic,-2.376,1.031,0,13.345,0,4.056,4.056,4.056,90,90,90,-0.122,O,1.385,0.649728188
AlHgO3,Al,Hg,FALSE,not balanced,not balanced,0.54,1.11,orthorhombic,-1.56,0.254,-,12.107,0,5.19,5.432,8.588,90,90,90,-,O,1.385,0.5455633482
AlHoO3,Al,Ho,FALSE,3,3,0.54,0.9,rhombohedral,-3.357,0.238,0,12.949,3.715,5.966,5.966,5.966,54.1,54.1,54.1,-6.308,O,1.385,0.5957026494
AlInO3,Al,In,FALSE,3,3,0.54,0.8,orthorhombic,-2.354,0.201,-,11.102,1.524,5.22,5.226,8.141,90,90,90,-5.702,O,1.385,0.6229659285
AlIrO3,Al,Ir,FALSE,3,3,0.54,0.68,cubic,-0.63,1.482,0.046,11.877,0,3.901,3.901,3.901,90,90,90,0.139,O,1.385,0.6591673384
AlKO3,Al,K,FALSE,not balanced,not balanced,0.54,1.38,orthorhombic,-1.982,0.285,-,14.152,2.012,5.624,6.743,7.464,90,90,90,-16.374,O,1.385,0.4922895312
AlLaO3,Al,La,FALSE,3,3,0.54,1.03,orthorhombic,-3.335,0.226,0,13.793,3.69,5.461,5.529,9.137,90,90,90,-6.662,O,1.385,0.5636358401
AlLiO3,Al,Li,FALSE,not balanced,not balanced,0.54,0.76,cubic,-0.683,1.686,-,8.215,0,3.45,3.45,3.45,90,90,90,-6.246,O,1.385,0.6345830088
AlLuO3,Al,Lu,FALSE,3,3,0.54,0.86,rhombohedral,-3.397,0.225,0,12.134,3.815,5.786,5.786,5.786,55.1,55.1,55.1,-5.759,O,1.385,0.606316505
AlMgO3,Al,Mg,FALSE,not balanced,not balanced,0.54,0.72,cubic,-1.168,1.691,-,10.399,0,3.732,3.732,3.732,90,90,90,-5.359,O,1.385,0.6466415932
AlMnO3,Al,Mn,FALSE,3,3,0.54,0.65,cubic,-1.359,1.282,0.69,10.42,0,3.735,3.735,3.735,90,90,90,-2.158,O,1.385,0.668884793
AlMoO3,Al,Mo,FALSE,3,3,0.54,0.69,cubic,-1.574,1.028,0,12.186,0,3.935,3.935,3.935,90,90,90,3.998,O,1.385,0.6559906283
AlNaO3,Al,Na,FALSE,not balanced,not balanced,0.54,1.02,orthorhombic,-1.971,0.321,-,11.427,2.09,5.461,5.978,7.002,90,90,90,-11.819,O,1.385,0.5659794402
AlNbO3,Al,Nb,FALSE,3,3,0.54,0.72,cubic,-1.999,0.882,-0.001,13.005,0,4.021,4.021,4.021,90,90,90,4.777,O,1.385,0.6466415932
AlNdO3,Al,Nd,FALSE,3,3,0.54,0.98,orthorhombic,-3.233,0.28,0,13.108,3.042,5.495,5.509,8.66,90,90,90,-7.031,O,1.385,0.5755520312
AlNiO3,Al,Ni,FALSE,3,3,0.54,0.6,cubic,-0.821,1.308,0.177,9.43,0,3.613,3.613,3.613,90,90,90,-3.057,O,1.385,0.6857332765
AlNpO3,Al,Np,FALSE,element not in BV,element not in BV,0.54,0.86,orthorhombic,-3.234,0.268,0.8,13.507,1.468,5.448,5.46,9.082,90,90,90,-1.407,O,1.385,0.606316505
AlOsO3,Al,Os,FALSE,element not in BV,element not in BV,0.54,0.57,cubic,-0.857,1.298,0,11.825,0,3.896,3.896,3.896,90,90,90,1.9,O,1.385,0.6962560377
AlPaO3,Al,Pa,FALSE,element not in BV,element not in BV,0.54,0.91,cubic,-2.259,0.768,0,16.861,2.193,4.385,4.385,4.385,90,90,90,5.433,O,1.385,0.5931069951
AlPbO3,Al,Pb,FALSE,not balanced,not balanced,0.54,0.99,orthorhombic,-1.959,0.291,-,12.675,0,5.467,5.475,8.47,90,90,90,-4.904,O,1.385,0.5731286542
AlPdO3,Al,Pd,FALSE,3,3,0.54,0.76,cubic,-0.438,1.454,-,11.84,0,3.897,3.897,3.897,90,90,90,-3.303,O,1.385,0.6345830088
AlPmO3,Al,Pm,FALSE,element not in BV,element not in BV,0.54,0.97,orthorhombic,-3.256,0.274,0,12.876,2.97,5.469,5.484,8.587,90,90,90,-6.858,O,1.385,0.5779959889
AlPrO3,Al,Pr,FALSE,3,3,0.54,0.99,orthorhombic,-3.213,0.286,0,13.347,2.935,5.529,5.537,8.72,90,90,90,-7.082,O,1.385,0.5731286542
AlPtO3,Al,Pt,FALSE,element not in BV,element not in BV,0.54,0.67,cubic,-0.417,1.564,0,12.279,0,3.945,3.945,3.945,90,90,90,-0.923,O,1.385,0.6623749653
AlPuO3,Al,Pu,FALSE,element not in BV,element not in BV,0.54,0.83,orthorhombic,-3.306,0.216,1,13.362,1.93,5.412,5.435,9.086,90,90,90,-2.763,O,1.385,0.6145284667
AlRbO3,Al,Rb,FALSE,not balanced,not balanced,0.54,1.52,cubic,0.71,2.952,-,15.861,0,4.296,4.296,4.296,90,90,90,-15.897,O,1.385,0.4685647345
AlReO3,Al,Re,FALSE,3,3,0.54,0.63,cubic,-1.244,1.157,0,11.971,0,3.912,3.912,3.912,90,90,90,3.045,O,1.385,0.675523848
AlRhO3,Al,Rh,FALSE,3,3,0.54,0.67,cubic,-0.666,1.433,0.082,11.614,0,3.872,3.872,3.872,90,90,90,-2.563,O,1.385,0.6623749653
AlRuO3,Al,Ru,FALSE,3,3,0.54,0.68,cubic,-0.871,1.331,0.212,11.596,0,3.87,3.87,3.87,90,90,90,0.576,O,1.385,0.6591673384
AlSbO3,Al,Sb,FALSE,3,3,0.54,0.76,cubic,-1.11,1.312,-,12.983,0,4.019,4.019,4.019,90,90,90,1.822,O,1.385,0.6345830088
AlScO3,Al,Sc,FALSE,3,3,0.54,0.75,cubic,-1.867,1.669,-0.012,12.556,0,3.974,3.974,3.974,90,90,90,-4.725,O,1.385,0.6375552945
AlSiO3,Al,Si,FALSE,not balanced,not balanced,0.54,0.4,cubic,-1.991,1.033,-,8.794,0,3.53,3.53,3.53,90,90,90,5.628,O,1.385,0.7625661366
AlSmO3,Al,Sm,FALSE,3,3,0.54,0.96,orthorhombic,-3.267,0.27,0,12.728,3.072,5.45,5.462,8.551,90,90,90,-6.818,O,1.385,0.5804607905
AlSnO3,Al,Sn,FALSE,not balanced,not balanced,0.54,0.69,cubic,-1.209,1.317,-,12.859,0,4.006,4.006,4.006,90,90,90,-1.044,O,1.385,0.6559906283
AlSrO3,Al,Sr,FALSE,not balanced,not balanced,0.54,1.18,orthorhombic,-2.765,0.194,-,13.698,0.445,5.259,5.926,8.791,90,90,90,-10.222,O,1.385,0.5306746798
AlTaO3,Al,Ta,FALSE,3,3,0.54,0.72,cubic,-2.219,0.753,0,12.82,0,4.002,4.002,4.002,90,90,90,5.56,O,1.385,0.6466415932
AlTbO3,Al,Tb,FALSE,3,3,0.54,0.92,rhombohedral,-3.197,0.251,0,13.312,3.738,6.025,6.025,6.025,54,54,54,-6.525,O,1.385,0.5905338628
AlTcO3,Al,Tc,FALSE,element not in BV,element not in BV,0.54,0.6,cubic,-1.22,1.178,0.005,11.777,0,3.89,3.89,3.89,90,90,90,2.474,O,1.385,0.6857332765
AlTeO3,Al,Te,FALSE,not balanced,not balanced,0.54,0.77,cubic,-0.801,1.416,-,13.852,0,4.107,4.107,4.107,90,90,90,1.55,O,1.385,0.631638308
AlThO3,Al,Th,FALSE,not balanced,not balanced,0.54,0.94,cubic,-2.164,1.466,-0.156,18.528,0,4.525,4.525,4.525,90,90,90,-2.435,O,1.385,0.5854540016
AlTiO3,Al,Ti,FALSE,3,3,0.54,0.67,cubic,-2.161,1.032,0,11.337,0,3.841,3.841,3.841,90,90,90,0.011,O,1.385,0.6623749653
AlTlO3,Al,Tl,FALSE,3,3,0.54,0.89,orthorhombic,-1.911,0.19,-,12.152,0.638,5.285,5.41,8.5,90,90,90,-6.702,O,1.385,0.5983211225
AlTmO3,Al,Tm,FALSE,3,3,0.54,0.88,rhombohedral,-3.378,0.237,0,12.404,3.756,5.828,5.828,5.828,55.1,55.1,55.1,-6.024,O,1.385,0.6009627169
AlUO3,Al,U,FALSE,3,3,0.54,1.03,orthorhombic,-2.94,0.452,0.567,13.853,0,5.72,5.961,8.125,90,90,90,2.358,O,1.385,0.5636358401
AlVO3,Al,V,FALSE,3,3,0.54,0.64,orthorhombic,-2.799,0.149,0.4,9.609,1.47,5.004,5.03,7.636,90,90,90,-0.475,O,1.385,0.6721879278
AlWO3,Al,W,FALSE,3,3,0.54,0.66,cubic,-1.67,0.951,0,12.242,0,3.941,3.941,3.941,90,90,90,4.827,O,1.385,0.6656139627
AlYO3,Al,Y,FALSE,3,3,0.54,0.9,rhombohedral,-3.324,0.236,0,13.18,3.81,6.003,6.003,6.003,54.1,54.1,54.1,-6.49,O,1.385,0.5957026494
AlYbO3,Al,Yb,FALSE,3,3,0.54,0.87,orthorhombic,-2.923,0.124,-,11.845,0,5.119,5.58,8.294,90,90,90,-7.558,O,1.385,0.60362774
AlZnO3,Al,Zn,FALSE,not balanced,not balanced,0.54,0.74,cubic,-0.72,1.614,-,10.398,0,3.732,3.732,3.732,90,90,90,-5.063,O,1.385,0.6405555547
AlZrO3,Al,Zr,FALSE,3,3,0.54,0.72,cubic,-2.183,1.117,0,13.936,0,4.115,4.115,4.115,90,90,90,-1.156,O,1.385,0.6466415932
AsAcO3,As,Ac,FALSE,element not in BV,element not in BV,0.52,1.12,orthorhombic,-2.622,-0.109,0,16.601,2.97,5.879,6.527,8.653,90,90,90,-2.465,O,1.385,0.5377398875
AsAgO3,As,Ag,FALSE,3,3,0.58,0.75,cubic,0.229,1.337,-,12.735,0,3.993,3.993,3.993,90,90,90,-3.674,O,1.385,0.6508031967
AsAlO3,As,Al,FALSE,3,3,0.58,0.54,cubic,-1.712,0.644,-,9.746,0,3.653,3.653,3.653,90,90,90,1.583,O,1.385,0.7217999091
As2O3,As,As,FALSE,3,3,0.58,0.58,cubic,-0.521,0.925,-,11.453,0,3.854,3.854,3.854,90,90,90,1.088,O,1.385,0.7071067812
AsAuO3,As,Au,FALSE,element not in BV,element not in BV,0.52,0.93,cubic,0.26,1.257,-,13.197,0,4.041,4.041,4.041,90,90,90,-1.212,O,1.385,0.5818740467
AsBO3,As,B,FALSE,3,3,0.58,0.27,cubic,-0.852,1.183,-,7.706,0.923,3.377,3.377,3.377,90,90,90,2.629,O,1.385,0.8395557855
AsBaO3,As,Ba,FALSE,not balanced,not balanced,0.52,1.35,orthorhombic,-2.111,0.232,-,18.14,0,5.93,6.407,9.549,90,90,90,-8.868,O,1.385,0.4925186172
AsBeO3,As,Be,FALSE,not balanced,not balanced,0.52,0.45,cubic,-1.008,1.015,-,8.407,0,3.477,3.477,3.477,90,90,90,-2.418,O,1.385,0.7340808818
AsBiO3,As,Bi,FALSE,not balanced,not balanced,0.52,0.9,cubic,-0.33,1.13,-,15.153,0,4.231,4.231,4.231,90,90,90,-3.743,O,1.385,0.5895135309
AsCaO3,As,Ca,FALSE,not balanced,not balanced,0.52,1,orthorhombic,-2.182,0.134,-,13.764,0,5.449,5.93,8.52,90,90,90,-8.351,O,1.385,0.5647959825
AsCdO3,As,Cd,FALSE,not balanced,not balanced,0.52,0.95,cubic,0.082,1.51,-,13.588,0,4.081,4.081,4.081,90,90,90,-5.71,O,1.385,0.5768901148
AsCeO3,As,Ce,FALSE,2,4,0.58,0.87,cubic,-0.902,1.665,0.021,18.283,0,4.505,4.505,4.505,90,90,90,-7.219,O,1.385,0.6161706541
AsCoO3,As,Co,FALSE,3,3,0.58,0.61,cubic,-0.584,0.82,-0.004,9.799,0,3.659,3.659,3.659,90,90,90,0.089,O,1.385,0.6964735965
AsCrO3,As,Cr,FALSE,3,3,0.58,0.62,cubic,-1.192,0.772,0.591,10.907,0,3.792,3.792,3.792,90,90,90,0.789,O,1.385,0.6929999127
AsCsO3,As,Cs,FALSE,not balanced,not balanced,0.52,1.67,cubic,0.861,2.563,-,17.457,0,4.436,4.436,4.436,90,90,90,-3.766,O,1.385,0.4409291058
AsCuO3,As,Cu,FALSE,3,3,0.58,0.54,cubic,-0.301,0.881,-,10.145,0,3.702,3.702,3.702,90,90,90,-0.831,O,1.385,0.7217999091
AsDyO3,As,Dy,FALSE,3,3,0.58,0.91,cubic,-1.302,1.387,0.038,15.714,0,4.283,4.283,4.283,90,90,90,-5.336,O,1.385,0.6054312963
AsErO3,As,Er,FALSE,3,3,0.58,0.89,cubic,-1.376,1.295,0.014,15.254,0,4.241,4.241,4.241,90,90,90,-4.874,O,1.385,0.6107537692
AsEuO3,As,Eu,FALSE,3,3,0.58,0.95,orthorhombic,-2.292,0.022,0,14.25,0,5.528,5.937,8.683,90,90,90,-8.456,O,1.385,0.5950598822
AsFeO3,As,Fe,FALSE,3,3,0.58,0.65,cubic,-0.747,0.805,0.911,10.955,0,3.798,3.798,3.798,90,90,90,-0.724,O,1.385,0.6827836978
AsGaO3,As,Ga,FALSE,3,3,0.58,0.62,cubic,-0.941,0.832,-,10.821,0,3.782,3.782,3.782,90,90,90,-0.391,O,1.385,0.6929999127
AsGdO3,As,Gd,FALSE,3,3,0.58,0.94,cubic,-1.22,1.399,-0.001,16.257,0,4.332,4.332,4.332,90,90,90,-5.81,O,1.385,0.5976192796
AsGeO3,As,Ge,FALSE,2,4,0.58,0.53,cubic,-0.909,0.707,-,10.602,0,3.757,3.757,3.757,90,90,90,1.493,O,1.385,0.7255690992
AsHfO3,As,Hf,FALSE,2,4,0.58,0.71,cubic,-2.012,0.773,-0.001,13.462,0,4.068,4.068,4.068,90,90,90,0.248,O,1.385,0.6632290334
AsHgO3,As,Hg,FALSE,not balanced,not balanced,0.52,1.11,cubic,0.404,1.59,-,14.238,0,4.145,4.145,4.145,90,90,90,-5.427,O,1.385,0.5398951576
AsHoO3,As,Ho,FALSE,3,3,0.58,0.9,cubic,-1.34,1.356,0.016,15.474,0,4.261,4.261,4.261,90,90,90,-5.112,O,1.385,0.6080808862
AsInO3,As,In,FALSE,3,3,0.58,0.8,cubic,-0.473,1.172,-,13.685,0,4.09,4.09,4.09,90,90,90,-3.437,O,1.385,0.6359106751
AsIrO3,As,Ir,FALSE,2,4,0.58,0.63,cubic,-0.244,0.958,-0.028,11.93,0,3.907,3.907,3.907,90,90,90,0.02,O,1.385,0.6895607072
AsKO3,As,K,FALSE,not balanced,not balanced,0.52,1.38,orthorhombic,-1.727,-0.173,-,15.098,3.052,4.836,5.454,11.449,90,90,90,-9.214,O,1.385,0.4871748348
AsLaO3,As,La,FALSE,3,3,0.58,1.03,cubic,-1.048,1.603,-0.002,17.892,0,4.472,4.472,4.472,90,90,90,-6.72,O,1.385,0.5753477536
AsLiO3,As,Li,FALSE,not balanced,not balanced,0.52,0.76,cubic,-0.236,1.588,-,9.144,0,3.576,3.576,3.576,90,90,90,-5.543,O,1.385,0.6279899385
AsLuO3,As,Lu,FALSE,3,3,0.58,0.86,cubic,-1.487,1.231,0,14.534,0,4.173,4.173,4.173,90,90,90,-4.14,O,1.385,0.6189152895
AsMgO3,As,Mg,FALSE,not balanced,not balanced,0.52,0.72,cubic,-0.852,1.261,-,10.925,0,3.794,3.794,3.794,90,90,90,-3.805,O,1.385,0.639923239
AsMnO3,As,Mn,FALSE,2,4,0.58,0.53,cubic,-0.981,0.783,0.734,10.859,0,3.787,3.787,3.787,90,90,90,-0.345,O,1.385,0.7255690992
AsMoO3,As,Mo,FALSE,2,4,0.58,0.65,cubic,-1.092,0.683,0.003,12.158,0,3.932,3.932,3.932,90,90,90,3.029,O,1.385,0.6827836978
AsNaO3,As,Na,FALSE,not balanced,not balanced,0.52,1.02,orthorhombic,-1.63,0.131,-,12.895,2.122,5.116,5.131,9.824,90,90,90,-9.344,O,1.385,0.5600991344
AsNbO3,As,Nb,FALSE,2,4,0.58,0.68,cubic,-1.53,0.693,0,12.927,0,4.013,4.013,4.013,90,90,90,2.989,O,1.385,0.672864322
AsNdO3,As,Nd,FALSE,3,3,0.58,0.98,cubic,-1.017,1.601,0.015,17.618,0,4.45,4.45,4.45,90,90,90,-6.772,O,1.385,0.5875115539
AsNiO3,As,Ni,FALSE,3,3,0.58,0.6,cubic,-0.451,0.973,0.203,9.927,0,3.675,3.675,3.675,90,90,90,-0.981,O,1.385,0.6999822796
AsNpO3,As,Np,FALSE,element not in BV,element not in BV,0.52,0.86,cubic,-1.576,1.132,0.354,16.535,0,4.356,4.356,4.356,90,90,90,0.156,O,1.385,0.6000171128
AsOsO3,As,Os,FALSE,element not in BV,element not in BV,0.52,0.57,cubic,-0.414,0.832,0.288,11.876,0,3.901,3.901,3.901,90,90,90,0.897,O,1.385,0.6890222088
AsPaO3,As,Pa,FALSE,element not in BV,element not in BV,0.52,0.91,cubic,-1.769,0.572,0.001,16.587,0,4.361,4.361,4.361,90,90,90,2.575,O,1.385,0.5869448445
AsPbO3,As,Pb,FALSE,2,4,0.58,0.78,orthorhombic,-1.311,0.217,-,14.871,0,5.617,6.321,8.378,90,90,90,-3.677,O,1.385,0.6417851386
AsPdO3,As,Pd,FALSE,2,4,0.58,0.62,cubic,-0.095,1.001,-,12.088,0,3.924,3.924,3.924,90,90,90,-0.714,O,1.385,0.6929999127
AsPmO3,As,Pm,FALSE,element not in BV,element not in BV,0.52,0.97,cubic,-1.077,1.484,0.015,17.223,0,4.416,4.416,4.416,90,90,90,-6.525,O,1.385,0.5719908357
AsPrO3,As,Pr,FALSE,2,4,0.58,0.85,cubic,-0.966,1.545,0.008,18.032,0,4.484,4.484,4.484,90,90,90,-6.972,O,1.385,0.6216844855
AsPtO3,As,Pt,FALSE,element not in BV,element not in BV,0.52,0.67,cubic,-0.053,1.024,-0.009,12.386,0,3.956,3.956,3.956,90,90,90,-0.43,O,1.385,0.6554931475
AsPuO3,As,Pu,FALSE,element not in BV,element not in BV,0.52,0.83,cubic,-1.563,0.976,0.687,16.23,0,4.329,4.329,4.329,90,90,90,1.368,O,1.385,0.6081437554
AsRbO3,As,Rb,FALSE,not balanced,not balanced,0.52,1.52,orthorhombic,-1.728,-0.199,-,16.722,3.147,4.944,5.705,11.859,90,90,90,-14.179,O,1.385,0.4636965295
AsReO3,As,Re,FALSE,2,4,0.58,0.63,cubic,-0.759,0.761,0.05,11.923,0,3.906,3.906,3.906,90,90,90,1.826,O,1.385,0.6895607072
AsRhO3,As,Rh,FALSE,3,3,0.58,0.67,cubic,-0.309,0.884,0.001,11.747,0,3.887,3.887,3.887,90,90,90,0.027,O,1.385,0.676138601
AsRuO3,As,Ru,FALSE,2,4,0.58,0.62,cubic,-0.462,0.831,0.248,11.724,0,3.885,3.885,3.885,90,90,90,0.888,O,1.385,0.6929999127
AsSbO3,As,Sb,FALSE,2,4,0.58,0.68,cubic,-0.677,0.847,-,13.103,0,4.031,4.031,4.031,90,90,90,1.237,O,1.385,0.672864322
AsScO3,As,Sc,FALSE,3,3,0.58,0.75,cubic,-1.592,1.035,0,12.761,0,3.996,3.996,3.996,90,90,90,-2.666,O,1.385,0.6508031967
AsSiO3,As,Si,FALSE,2,4,0.58,0.4,cubic,-1.501,0.825,-,9.218,0,3.585,3.585,3.585,90,90,90,3.579,O,1.385,0.7784116667
AsSmO3,As,Sm,FALSE,3,3,0.58,0.96,cubic,-1.116,1.531,0.092,16.964,0,4.394,4.394,4.394,90,90,90,-6.305,O,1.385,0.5925223134
AsSnO3,As,Sn,FALSE,2,4,0.58,0.69,cubic,-0.849,0.805,-,13.003,0,4.021,4.021,4.021,90,90,90,2.506,O,1.385,0.6696216024
AsSrO3,As,Sr,FALSE,not balanced,not balanced,0.52,1.18,rhombohedral,-1.924,0.43,-,16.381,0,6.254,6.254,6.254,57.7,57.7,57.7,-10.112,O,1.385,0.5251611767
AsTaO3,As,Ta,FALSE,2,4,0.58,0.68,cubic,-1.738,0.694,0,12.721,0,3.992,3.992,3.992,90,90,90,3.72,O,1.385,0.672864322
AsTbO3,As,Tb,FALSE,2,4,0.58,0.76,cubic,-1.131,1.419,0.046,15.982,0,4.307,4.307,4.307,90,90,90,-5.57,O,1.385,0.6477691492
AsTcO3,As,Tc,FALSE,element not in BV,element not in BV,0.52,0.6,cubic,-0.761,0.751,0.361,11.881,0,3.902,3.902,3.902,90,90,90,1.981,O,1.385,0.6786087749
AsTeO3,As,Te,FALSE,2,4,0.58,0.97,cubic,-0.364,0.944,-,14.078,0,4.129,4.129,4.129,90,90,90,-0.54,O,1.385,0.5900062951
AsThO3,As,Th,FALSE,2,4,0.58,0.94,cubic,-1.795,1.229,0.003,18.699,0,4.539,4.539,4.539,90,90,90,-3.355,O,1.385,0.5976192796
AsTiO3,As,Ti,FALSE,2,4,0.58,0.61,cubic,-1.759,0.669,0.001,11.551,0,3.865,3.865,3.865,90,90,90,0.658,O,1.385,0.6964735965
AsTlO3,As,Tl,FALSE,3,3,0.58,0.89,cubic,0.134,1.446,-,14.762,0,4.195,4.195,4.195,90,90,90,-5.074,O,1.385,0.6107537692
AsTmO3,As,Tm,FALSE,3,3,0.58,0.88,cubic,-1.424,1.265,0.01,14.96,0,4.213,4.213,4.213,90,90,90,-4.583,O,1.385,0.6134502539
AsUO3,As,U,FALSE,2,4,0.58,0.89,cubic,-1.957,0.817,0.04,16.096,0,4.318,4.318,4.318,90,90,90,2.774,O,1.385,0.6107537692
AsVO3,As,V,FALSE,2,4,0.58,0.58,cubic,-1.241,0.797,-0.004,11.019,0,3.805,3.805,3.805,90,90,90,-0.112,O,1.385,0.7071067812
AsWO3,As,W,FALSE,3,3,0.58,0.66,cubic,-1.18,0.776,0,12.189,0,3.935,3.935,3.935,90,90,90,3.385,O,1.385,0.6794449022
AsYO3,As,Y,FALSE,3,3,0.58,0.9,cubic,-1.275,1.387,0.015,15.785,0,4.289,4.289,4.289,90,90,90,-5.326,O,1.385,0.6080808862
AsYbO3,As,Yb,FALSE,3,3,0.58,0.87,orthorhombic,-2.302,0,-,13.359,0,5.405,5.88,8.406,90,90,90,-7.438,O,1.385,0.6161706541
AsZnO3,As,Zn,FALSE,not balanced,not balanced,0.52,0.74,cubic,-0.397,1.175,-,10.853,0,3.786,3.786,3.786,90,90,90,-2.795,O,1.385,0.6339004321
